,atom_name,charge,epsilon,sigma
0,8.0,0.0,0.14,2.9
1,16.0,0.0,0.25,3.55
2,8.0,0.0,0.14,2.9
3,7.0,0.0,0.17,3.25
4,16.0,0.0,0.25,3.55
5,8.0,0.0,0.14,2.9
6,8.0,0.0,0.14,2.9
7,6.0,0.0,0.066,3.5
8,9.0,0.0,0.053,2.95
9,9.0,0.0,0.053,2.95
10,9.0,0.0,0.053,2.95
11,6.0,0.0,0.066,3.5
12,9.0,0.0,0.053,2.95
13,9.0,0.0,0.053,2.95
14,9.0,0.0,0.053,2.95
15,3.0,0.0,0.018,2.13
16,6.0,0.0,0.066,3.5
17,8.0,0.0,0.14,2.9
18,6.0,0.0,0.066,3.5
19,6.0,0.0,0.066,3.5
20,8.0,0.0,0.14,2.9
21,6.0,0.0,0.066,3.5
22,6.0,0.0,0.066,3.5
23,8.0,0.0,0.14,2.9
24,6.0,0.0,0.066,3.5
25,6.0,0.0,0.066,3.5
26,8.0,0.0,0.14,2.9
27,6.0,0.0,0.066,3.5
28,6.0,0.0,0.066,3.5
29,8.0,0.0,0.14,2.9
30,6.0,0.0,0.066,3.5
31,1.0,0.0,0.03,2.5
32,1.0,0.0,0.03,2.5
33,1.0,0.0,0.03,2.5
34,1.0,0.0,0.03,2.5
35,1.0,0.0,0.03,2.5
36,1.0,0.0,0.03,2.5
37,1.0,0.0,0.03,2.5
38,1.0,0.0,0.03,2.5
39,1.0,0.0,0.03,2.5
40,1.0,0.0,0.03,2.5
41,1.0,0.0,0.03,2.5
42,1.0,0.0,0.03,2.5
43,1.0,0.0,0.03,2.5
44,1.0,0.0,0.03,2.5
45,1.0,0.0,0.03,2.5
46,1.0,0.0,0.03,2.5
47,1.0,0.0,0.03,2.5
48,1.0,0.0,0.03,2.5
49,1.0,0.0,0.03,2.5
50,1.0,0.0,0.03,2.5
51,1.0,0.0,0.03,2.5
52,1.0,0.0,0.03,2.5
