,atom_name,charge,epsilon,sigma
0,8.0,0.0,0.14,2.9
1,16.0,0.0,0.25,3.55
2,8.0,0.0,0.14,2.9
3,7.0,0.0,0.17,3.25
4,16.0,0.0,0.25,3.55
5,8.0,0.0,0.14,2.9
6,8.0,0.0,0.14,2.9
7,6.0,0.0,0.066,3.5
8,9.0,0.0,0.053,2.95
9,9.0,0.0,0.053,2.95
10,9.0,0.0,0.053,2.95
11,6.0,0.0,0.066,3.5
12,9.0,0.0,0.053,2.95
13,9.0,0.0,0.053,2.95
14,9.0,0.0,0.053,2.95
15,8.0,0.0,0.14,2.9
16,16.0,0.0,0.25,3.55
17,8.0,0.0,0.14,2.9
18,7.0,0.0,0.17,3.25
19,16.0,0.0,0.25,3.55
20,8.0,0.0,0.14,2.9
21,8.0,0.0,0.14,2.9
22,6.0,0.0,0.066,3.5
23,9.0,0.0,0.053,2.95
24,9.0,0.0,0.053,2.95
25,9.0,0.0,0.053,2.95
26,6.0,0.0,0.066,3.5
27,9.0,0.0,0.053,2.95
28,9.0,0.0,0.053,2.95
29,9.0,0.0,0.053,2.95
