,atom_name,charge,epsilon,sigma
0,6.0,0.0,0.066,3.5
1,8.0,0.0,0.14,2.9
2,6.0,0.0,0.066,3.5
3,6.0,0.0,0.066,3.5
4,8.0,0.0,0.14,2.9
5,6.0,0.0,0.066,3.5
6,6.0,0.0,0.066,3.5
7,8.0,0.0,0.14,2.9
8,6.0,0.0,0.066,3.5
9,6.0,0.0,0.066,3.5
10,8.0,0.0,0.14,2.9
11,6.0,0.0,0.066,3.5
12,1.0,0.0,0.03,2.5
13,1.0,0.0,0.03,2.5
14,1.0,0.0,0.03,2.5
15,1.0,0.0,0.03,2.5
16,1.0,0.0,0.03,2.5
17,1.0,0.0,0.03,2.5
18,1.0,0.0,0.03,2.5
19,1.0,0.0,0.03,2.5
20,1.0,0.0,0.03,2.5
21,1.0,0.0,0.03,2.5
22,1.0,0.0,0.03,2.5
23,1.0,0.0,0.03,2.5
24,1.0,0.0,0.03,2.5
25,1.0,0.0,0.03,2.5
26,1.0,0.0,0.03,2.5
27,1.0,0.0,0.03,2.5
28,1.0,0.0,0.03,2.5
29,1.0,0.0,0.03,2.5
