,geom_ids,species_id,species__smiles,species__componentcount
0,416487248,5387528,COCCOCCOCCOC,0
1,416487249,5387528,COCCOCCOCCOC,0
2,416487250,5387528,COCCOCCOCCOC,0
3,416487251,5387528,COCCOCCOCCOC,0
4,416487252,5387528,COCCOCCOCCOC,0
5,416487253,5387528,COCCOCCOCCOC,0
6,416487254,5387528,COCCOCCOCCOC,0
7,416487255,5387528,COCCOCCOCCOC,0
8,416487256,5387528,COCCOCCOCCOC,0
9,416487257,5387528,COCCOCCOCCOC,0
10,416487258,5387528,COCCOCCOCCOC,0
11,416487259,5387528,COCCOCCOCCOC,0
12,416487260,5387528,COCCOCCOCCOC,0
13,416487261,5387528,COCCOCCOCCOC,0
14,416487262,5387528,COCCOCCOCCOC,0
15,416487263,5387528,COCCOCCOCCOC,0
16,416487264,5387528,COCCOCCOCCOC,0
17,416487265,5387528,COCCOCCOCCOC,0
18,416487266,5387528,COCCOCCOCCOC,0
19,416487267,5387528,COCCOCCOCCOC,0
20,416487268,5387528,COCCOCCOCCOC,0
21,416487269,5387528,COCCOCCOCCOC,0
22,416487270,5387528,COCCOCCOCCOC,0
23,416487271,5387528,COCCOCCOCCOC,0
24,416487272,5387528,COCCOCCOCCOC,0
25,416487273,5387528,COCCOCCOCCOC,0
26,416487274,5387528,COCCOCCOCCOC,0
27,416487275,5387528,COCCOCCOCCOC,0
28,416487276,5387528,COCCOCCOCCOC,0
29,416487277,5387528,COCCOCCOCCOC,0
30,416487278,5387528,COCCOCCOCCOC,0
31,416487279,5387528,COCCOCCOCCOC,0
32,416487280,5387528,COCCOCCOCCOC,0
33,416487281,5387528,COCCOCCOCCOC,0
34,416487282,5387528,COCCOCCOCCOC,0
35,416487283,5387528,COCCOCCOCCOC,0
36,416487284,5387528,COCCOCCOCCOC,0
37,416487285,5387528,COCCOCCOCCOC,0
38,416487286,5387528,COCCOCCOCCOC,0
39,416487287,5387528,COCCOCCOCCOC,0
40,416487288,5387528,COCCOCCOCCOC,0
41,416487289,5387528,COCCOCCOCCOC,0
42,416487290,5387528,COCCOCCOCCOC,0
43,416487291,5387528,COCCOCCOCCOC,0
44,416487292,5387528,COCCOCCOCCOC,0
45,416487293,5387528,COCCOCCOCCOC,0
46,416487294,5387528,COCCOCCOCCOC,0
47,416487295,5387528,COCCOCCOCCOC,0
48,416487296,5387528,COCCOCCOCCOC,0
49,416487297,5387528,COCCOCCOCCOC,0
50,416487298,5387528,COCCOCCOCCOC,0
51,416487299,5387528,COCCOCCOCCOC,0
52,416487300,5387528,COCCOCCOCCOC,0
53,416487301,5387528,COCCOCCOCCOC,0
54,416487302,5387528,COCCOCCOCCOC,0
55,416487303,5387528,COCCOCCOCCOC,0
56,416487304,5387528,COCCOCCOCCOC,0
57,416487305,5387528,COCCOCCOCCOC,0
58,416487306,5387528,COCCOCCOCCOC,0
59,416487307,5387528,COCCOCCOCCOC,0
60,416487308,5387528,COCCOCCOCCOC,0
61,416487309,5387528,COCCOCCOCCOC,0
62,416487310,5387528,COCCOCCOCCOC,0
63,416487311,5387528,COCCOCCOCCOC,0
64,416487312,5387528,COCCOCCOCCOC,0
65,416487313,5387528,COCCOCCOCCOC,0
66,416487314,5387528,COCCOCCOCCOC,0
67,416487315,5387528,COCCOCCOCCOC,0
68,416487316,5387528,COCCOCCOCCOC,0
69,416487317,5387528,COCCOCCOCCOC,0
70,416487318,5387528,COCCOCCOCCOC,0
71,416487319,5387528,COCCOCCOCCOC,0
72,416487320,5387528,COCCOCCOCCOC,0
73,416487321,5387528,COCCOCCOCCOC,0
74,416487322,5387528,COCCOCCOCCOC,0
75,416487323,5387528,COCCOCCOCCOC,0
76,416487324,5387528,COCCOCCOCCOC,0
77,416487325,5387528,COCCOCCOCCOC,0
78,416487326,5387528,COCCOCCOCCOC,0
79,416487327,5387528,COCCOCCOCCOC,0
80,416487328,5387528,COCCOCCOCCOC,0
81,416487329,5387528,COCCOCCOCCOC,0
82,416487330,5387528,COCCOCCOCCOC,0
83,416487331,5387528,COCCOCCOCCOC,0
